Date,Symbol,Company,Open,High,Low,Close,PrevClose,Volume,TradedValue,Trades
19-06-2026,RPOWER,RELIANCE POWER LTD.,26.6,26.85,26.02,26.1,26.66,33990385,895596110.4,42799
19-06-2026,HDFCBANK,HDFC BANK LTD,788.7,789.05,776.2,779.8,799,33798761,26389948086,342920
19-06-2026,HATHWAY,HATHWAY CABLE & DATACOM,11.87,12.89,11.6,12.18,11.6,32958142,408288732.6,36741
19-06-2026,CUPID,CUPID LIMITED,170.25,177,170.25,176.92,169.19,32137212,5652842289,99108
19-06-2026,TATASTEEL,TATA STEEL LIMITED,199.25,199.36,196.5,198.96,200.52,31571461,6264898193,207938
19-06-2026,ETERNAL,ETERNAL LIMITED,257,264.9,254.55,264.3,258.55,29061365,7601422864,125779
19-06-2026,AEQUS,AEQUS LIMITED,205.2,225.45,196.33,222.13,203.07,26291352,5613895588,253445
19-06-2026,HFCL,HFCL LIMITED,206.99,209.61,204.01,209.61,199.63,26062936,5450164174,35746
19-06-2026,SAMMAANCAP,SAMMAAN CAPITAL LIMITED,174.13,178.5,171.9,174.6,174.4,24969139,4369511041,57875
19-06-2026,RELIANCE,RELIANCE INDUSTRIES LTD,1328,1338.2,1305.3,1309.5,1328.1,24887034,32795056305,271929
19-06-2026,CCAVENUE,AVENUESAI LIMITED,15,15.45,14.76,15.07,15.01,24579401,370682785.1,28438
19-06-2026,GMRAIRPORT,GMR AIRPORTS LIMITED,110.32,110.32,108.21,108.83,110.55,23639680,2576558289,44804
19-06-2026,SAGILITY,SAGILITY LIMITED,39.5,39.99,38.52,39.49,39.83,23225441,910841092.9,45626
19-06-2026,IDBI,IDBI BANK LIMITED,84.65,85.2,82.57,82.98,84.62,22635586,1894810972,71363
19-06-2026,REDINGTON,REDINGTON LIMITED,270,290.46,268.54,280.76,271.95,22331777,6308532654,226899
19-06-2026,JIOFIN,JIO FIN SERVICES LTD,244,246.85,242.03,244.45,244.1,22160659,5422640002,101741
19-06-2026,BHEL,BHEL,405.9,423.7,403.85,414.35,405.9,22020572,9137222677,151756
19-06-2026,ITCHOTELS,ITC HOTELS LIMITED,160.5,174.8,159.99,170.92,161.13,21936839,3706904192,142634
19-06-2026,NBCC,NBCC (INDIA) LIMITED,109.8,113.37,109.01,111.45,110.15,21519579,2403521906,79695
19-06-2026,NMDC,NMDC LTD.,88.5,89.25,88.08,88.42,88.53,20685578,1833513275,53170
19-06-2026,ESAFSFB,ESAF SMALL FINANCE BANK L,32.5,36.7,31.76,36.33,32.02,20668329,734396563.3,53043
19-06-2026,PWL,PHYSICSWALLAH LIMITED,114.25,123.5,112.98,122.61,115.02,20593842,2479542428,78478
19-06-2026,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,144.5,146.05,143.02,145.54,144.68,20254043,2938013641,55004
19-06-2026,SAIL,STEEL AUTHORITY OF INDIA,181.4,183.86,178.33,180.05,182.16,20204155,3649696650,86006
19-06-2026,PARAS,PARAS DEF AND SPCE TECH L,1305,1443,1299,1408.65,1310.3,19692749,27447207071,464110
19-06-2026,RAMASTEEL,RAMA STEEL TUBES LIMITED,5.04,5.05,4.89,4.9,5.04,19014435,94023135.64,8857
19-06-2026,VMM,VISHAL MEGA MART LIMITED,117.87,119.25,116.72,118.66,117.87,18912604,2239682569,45510
19-06-2026,INOXWIND,INOX WIND LIMITED,89.01,92.25,88.2,90.72,89.33,18771345,1696550827,50428
19-06-2026,CENTRALBK,CENTRAL BANK OF INDIA,33.18,33.31,32.45,32.84,33.1,17618631,578771628.4,28535
19-06-2026,BAJAJHFL,BAJAJ HOUSING FINANCE LTD,85.75,88.98,85.12,88.36,85.87,17570172,1546483340,70555
19-06-2026,JTLIND,JTL INDUSTRIES LIMITED,74,82.34,71.16,79.23,75.28,17539224,1367533179,70190
19-06-2026,KOTAKBANK,KOTAK MAHINDRA BANK LTD,402.5,403.55,398,399.25,402.95,17504009,6996811407,144218
